% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
33173	1	1	1	2	1	28	6594	0	1	1	0
33174	1	1	1	2	0	28	6594	0	1	1	0
33174	1	1	1	2	1	28	6594	0	1	1	0
33175	1	1	1	2	0	28	6594	0	1	1	0
33175	1	1	1	2	1	28	6594	0	1	1	0
33176	1	1	1	2	0	28	6594	0	1	1	0
33176	1	1	1	2	1	28	6594	0	1	1	0
33177	1	1	1	2	0	28	6594	0	1	1	0
33177	1	1	1	2	1	28	6594	0	1	1	0
33178	1	1	1	2	0	22	4251	0	1	1	0
33178	1	1	1	2	1	22	4251	0	1	1	0
33179	1	1	1	2	0	22	4251	0	1	1	0
33179	1	1	1	2	1	22	4251	0	1	1	0
33180	1	1	1	2	0	28	6594	0	1	1	0
33180	1	1	1	2	1	28	6594	0	1	1	0
33181	1	1	1	2	0	28	6594	0	1	1	0
33181	1	1	1	2	1	28	6594	0	1	1	0
33182	1	1	1	2	0	28	6594	0	1	1	0
33182	1	1	1	2	1	28	6594	0	1	1	0
33183	1	1	1	2	0	28	6594	0	1	1	0
33183	1	1	1	2	1	28	6594	0	1	1	0
33184	1	1	1	2	0	28	6594	0	1	1	0
33184	1	1	1	2	1	28	6594	0	1	1	0
33185	1	1	1	2	0	28	6594	0	1	1	0
33185	1	1	1	2	1	28	6594	0	1	1	0
33186	1	1	1	2	0	28	6594	0	1	1	0
33186	1	1	1	2	1	28	6594	0	1	1	0
33187	1	1	1	2	0	28	6594	0	1	1	0
33187	1	1	1	2	1	28	6594	0	1	1	0
33188	1	1	1	2	0	28	6594	0	1	1	0
33188	1	1	1	2	1	28	6594	0	1	1	0
33189	1	1	1	2	0	28	6594	0	1	1	0
33189	1	1	1	2	1	28	6594	0	1	1	0
33190	1	1	1	2	0	28	6594	0	1	1	0
33190	1	1	1	2	1	28	6594	0	1	1	0
33191	1	1	1	2	0	28	6594	0	1	1	0
33191	1	1	1	2	1	28	6594	0	1	1	0
33192	1	1	1	2	0	28	6594	0	1	1	0
33192	1	1	1	2	1	28	6594	0	1	1	0
33193	1	1	1	2	0	28	6594	0	1	1	0
33193	1	1	1	2	1	28	6594	0	1	1	0
33194	1	1	1	2	0	28	6594	0	1	1	0
33194	1	1	1	2	1	28	6594	0	1	1	0
33195	1	1	1	2	0	28	6594	0	1	1	0
33195	1	1	1	2	1	28	6594	0	1	1	0
33196	1	1	1	2	0	28	6594	0	1	1	0
33196	1	1	1	2	1	28	6594	0	1	1	0
33197	1	1	1	2	0	28	6594	0	1	1	0
33197	1	1	1	2	1	28	6594	0	1	1	0
33198	1	1	1	2	0	28	6594	0	1	1	0
33198	1	1	1	2	1	28	6594	0	1	1	0
33199	1	1	1	2	0	28	6594	0	1	1	0
33199	1	1	1	2	1	28	6594	0	1	1	0
33200	1	1	1	2	0	28	6594	0	1	1	0
33200	1	1	1	2	1	28	6594	0	1	1	0
33201	1	1	1	2	0	28	6594	0	1	1	0
33201	1	1	1	2	1	28	6594	0	1	1	0
33202	1	1	1	2	0	28	6594	0	1	1	0
33202	1	1	1	2	1	28	6594	0	1	1	0
33203	1	1	1	2	0	28	6594	0	1	1	0
33203	1	1	1	2	1	28	6594	0	1	1	0
33204	1	1	1	2	0	28	6594	0	1	1	0
33204	1	1	1	2	1	28	6594	0	1	1	0
33205	1	1	1	2	0	28	6594	0	1	1	0
33205	1	1	1	2	1	28	6594	0	1	1	0
33206	1	1	1	2	0	28	6594	0	1	1	0
33206	1	1	1	2	1	28	6594	0	1	1	0
33207	1	1	1	2	0	28	6594	0	1	1	0
33207	1	1	1	2	1	28	6594	0	1	1	0
